=== 统计 ===
总学校数: 450
成功: 271
失败(failed): 51
未找到(not_found): 128

=== 失败(failed) 学校列表 (51 所) ===
  青岛理工大学 | ID: 3539644249 | 地区: 山东 | 来源: search | 错误: 内容过短或为空
  山东财经大学 | ID: 3539644555 | 地区: 山东 | 来源: search | 错误: 内容过短或为空
  中国石油大学(华东) | ID: 3539644634 | 地区: 山东 | 来源: direct | 错误: 内容过短或为空
  山东科技大学 | ID: 3539644504 | 地区: 山东 | 来源: direct | 错误: 内容过短或为空
  河南科技大学 | ID: 3539644604 | 地区: 河南 | 来源: search | 错误: 内容过短或为空
  河南中医药大学 | ID: 3539644507 | 地区: 河南 | 来源: search | 错误: 内容过短或为空
  河南科技学院 | ID: 3539644466 | 地区: 河南 | 来源: search | 错误: 内容过短或为空
  三峡大学 | ID: 3539644438 | 地区: 湖北 | 来源: direct | 错误: 内容过短或为空
  南华大学 | ID: 3539644545 | 地区: 湖南 | 来源: search | 错误: 内容过短或为空
  吉首大学 | ID: 3539644414 | 地区: 湖南 | 来源: search | 错误: 内容过短或为空
  湖南工业大学 | ID: 3539644611 | 地区: 湖南 | 来源: search | 错误: 内容过短或为空
  中南大学 | ID: 3539644662 | 地区: 湖南 | 来源: search | 错误: 内容过短或为空
  深圳北理莫斯科大学 | ID: 3539644299 | 地区: 广东 | 来源: search | 错误: 内容过短或为空
  韩山师范学院 | ID: 3539644310 | 地区: 广东 | 来源: search | 错误: 内容过短或为空
  广州软件学院 | ID: 3539644283 | 地区: 广东 | 来源: direct | 错误: 内容过短或为空
  北京理工大学珠海学院 | ID: 3539644532 | 地区: 广东 | 来源: search | 错误: 内容过短或为空
  广东技术师范大学 | ID: 3539644591 | 地区: 广东 | 来源: direct | 错误: 内容过短或为空
  东莞城市学院 | ID: 3539644574 | 地区: 广东 | 来源: search | 错误: 内容过短或为空
  佛山大学 | ID: 3539644547 | 地区: 广东 | 来源: search | 错误: 内容过短或为空
  深圳职业技术大学 | ID: 3539644608 | 地区: 广东 | 来源: search | 错误: 内容过短或为空
  广州医科大学 | ID: 3539644380 | 地区: 广东 | 来源: direct | 错误: 内容过短或为空
  香港中文大学(深圳) | ID: 3539644668 | 地区: 广东 | 来源: search | 错误: 内容过短或为空
  广州大学 | ID: 3539644385 | 地区: 广东 | 来源: direct | 错误: 内容过短或为空
  广东工业大学 | ID: 3539644387 | 地区: 广东 | 来源: direct | 错误: 内容过短或为空
  香港科技大学（广州） | ID: 3539644409 | 地区: 广东 | 来源: direct | 错误: 内容过短或为空
  南方科技大学 | ID: 3539644423 | 地区: 广东 | 来源: direct | 错误: 内容过短或为空
  北京师范大学(珠海校区) | ID: 3539644638 | 地区: 广东 | 来源: direct | 错误: 内容过短或为空
  广东金融学院 | ID: 3539644386 | 地区: 广东 | 来源: search | 错误: 内容过短或为空
  广州体育学院 | ID: 3539644615 | 地区: 广东 | 来源: search | 错误: 内容过短或为空
  桂林理工大学 | ID: 3539644425 | 地区: 广西 | 来源: search | 错误: 内容过短或为空
  桂林航天工业学院 | ID: 3539644431 | 地区: 广西 | 来源: search | 错误: 内容过短或为空
  广西师范大学 | ID: 3539644427 | 地区: 广西 | 来源: search | 错误: 内容过短或为空
  西南政法大学 | ID: 3539644581 | 地区: 重庆 | 来源: search | 错误: 内容过短或为空
  西南科技大学 | ID: 3539644300 | 地区: 四川 | 来源: direct | 错误: 内容过短或为空
  重庆邮电大学 | ID: 3539644434 | 地区: 重庆 | 来源: search | 错误: 内容过短或为空
  西华大学 | ID: 3539644624 | 地区: 四川 | 来源: search | 错误: 内容过短或为空
  四川师范大学 | ID: 3539644395 | 地区: 四川 | 来源: direct | 错误: 内容过短或为空
  成都体育学院 | ID: 3539644518 | 地区: 四川 | 来源: direct | 错误: 内容过短或为空
  西南民族大学 | ID: 3539644356 | 地区: 四川 | 来源: search | 错误: 内容过短或为空
  电子科技大学 | ID: 3539644495 | 地区: 四川 | 来源: search | 错误: 内容过短或为空
  云南师范大学 | ID: 3539644323 | 地区: 云南 | 来源: direct | 错误: 内容过短或为空
  大理大学 | ID: 3539644593 | 地区: 云南 | 来源: direct | 错误: 内容过短或为空
  云南财经大学 | ID: 3539644645 | 地区: 云南 | 来源: search | 错误: 内容过短或为空
  西安交通大学 | ID: 3539644352 | 地区: 陕西 | 来源: direct | 错误: 内容过短或为空
  西北工业大学 | ID: 3539644619 | 地区: 陕西 | 来源: search | 错误: 内容过短或为空
  西安音乐学院 | ID: 3539644524 | 地区: 陕西 | 来源: search | 错误: 内容过短或为空
  长安大学 | ID: 3539644523 | 地区: 陕西 | 来源: search | 错误: 内容过短或为空
  西安思源学院 | ID: 3539644527 | 地区: 陕西 | 来源: search | 错误: 内容过短或为空
  西安体育学院 | ID: 3539644526 | 地区: 陕西 | 来源: search | 错误: 内容过短或为空
  西安美术学院 | ID: 3539644525 | 地区: 陕西 | 来源: search | 错误: 内容过短或为空
  西北农林科技大学 | ID: 3539644353 | 地区: 陕西 | 来源: search | 错误: 内容过短或为空
  北方民族大学 | ID: 3539644664 | 地区: 宁夏 | 来源: direct | 错误: 内容过短或为空
  甘肃中医药大学 | ID: 3539644694 | 地区: 甘肃 | 来源: search | 错误: 内容过短或为空
  西北师范大学 | ID: 3539644252 | 地区: 甘肃 | 来源: search | 错误: 内容过短或为空
  华侨大学 | ID: 3539644482 | 地区: 福建 | 来源: direct | 错误: N/A
  莆田学院 | ID: 3539644488 | 地区: 福建 | 来源: direct | 错误: N/A
  江西理工大学 | ID: 3539644337 | 地区: 江西 | 来源: direct | 错误: N/A
  枣庄学院 | ID: 3539644250 | 地区: 山东 | 来源: direct | 错误: N/A
  山东外事职业大学 | ID: 3539644287 | 地区: 山东 | 来源: direct | 错误: N/A
  山东艺术学院 | ID: 3539644496 | 地区: 山东 | 来源: direct | 错误: N/A
  德州学院 | ID: 3539644505 | 地区: 山东 | 来源: direct | 错误: N/A
  湖北美术学院 | ID: 3539644374 | 地区: 湖北 | 来源: direct | 错误: N/A
  湖南中医药大学 | ID: 3539644413 | 地区: 湖南 | 来源: direct | 错误: N/A
  广州城市理工学院 | ID: 3539644331 | 地区: 广东 | 来源: direct | 错误: N/A
  广州华立学院 | ID: 3539644607 | 地区: 广东 | 来源: direct | 错误: N/A
  香港城市大学（东莞） | ID: 3539644606 | 地区: 广东 | 来源: direct | 错误: N/A
  五邑大学 | ID: 3539644617 | 地区: 广东 | 来源: direct | 错误: N/A
  深圳大学 | ID: 3539644649 | 地区: 广东 | 来源: direct | 错误: N/A
  肇庆学院 | ID: 3539644383 | 地区: 广东 | 来源: direct | 错误: N/A
  广东财经大学 | ID: 3539644404 | 地区: 广东 | 来源: direct | 错误: N/A
  广西大学 | ID: 3539644343 | 地区: 广西 | 来源: direct | 错误: N/A
  西南大学 | ID: 3539644354 | 地区: 重庆 | 来源: direct | 错误: N/A
  云南民族大学 | ID: 3539644636 | 地区: 云南 | 来源: direct | 错误: N/A
  西南林业大学 | ID: 3539644609 | 地区: 云南 | 来源: direct | 错误: N/A
  西安外国语大学 | ID: 3539644610 | 地区: 陕西 | 来源: direct | 错误: N/A
  西北大学 | ID: 3539644657 | 地区: 陕西 | 来源: direct | 错误: N/A
  西安建筑科技大学 | ID: 3539644463 | 地区: 陕西 | 来源: direct | 错误: N/A
